Variable number,Variable name,κ,% agreement,r,κ,% agreement,r
1,The social organization of the vocal group,0.68,52,0.87,0.6,49,0.91
2,Relationship of orchestra to vocal parts,0.77,64,0.69,0.55,64,0.29
3,﻿Social organization of the orchestra,0.7,69,0.7,0.78,73,0.82
4,Musical organization of the vocal part,0.94,89,0.94,0.92,82,0.94
5,Tonal blend of the vocal group,0.85,52,0.86,0.78,51,0.79
6,Rhythmic coordination of the vocal group,0.8,55,0.81,0.73,47,0.79
7,Musical organization of the orchestra,0.92,86,0.95,0.83,76,0.82
8,Tonal blend of the orchestra,0.75,69,0.75,0.68,67,0.69
9,Rhythmic coordination of the orchestra,0.88,72,0.88,0.7,72,0.78
10,Repetition of text,0.65,41,0.67,0.42,26,0.53
11,Overall rhythm: vocal,0.66,69,0.69,0.35,50,0.24
12,Rhythmic relationship within the vocal group,0.66,70,0.74,0.58,57,0.6
13,Overall rhythm: orchestra,0.93,83,0.9,0.87,69,0.89
14,Rhythmic relationship within the orchestra,0.82,75,0.85,0.6,70,0.62
15,Melodic shape,0.3,50,0.41,0.19,42,0.35
16,Melodic form,0.6,32,0.6,0.61,33,0.62
17,Phrase length,0.4,26,0.46,0.45,38,0.52
18,Number of phrases,0.57,21,0.56,0.48,33,0.48
19,Position of final tone,0.06,34,0.09,0.06,30,0.16
20,Melodic range,0.64,71,0.64,0.38,46,0.37
21,Interval size,0.49,55,0.52,0.47,36,0.6
22,Polyphonic type,0.78,72,0.8,0.6,61,0.75
23,Embellishment,0.7,45,0.7,0.65,48,0.66
24,Tempo,0.34,45,0.4,0.52,52,0.47
25,Volume,0.59,46,0.65,0.51,44,0.56
26,Rubato: vocal,0.49,45,0.5,0.47,42,0.65
27,Rubato: orchestra,0.23,86,0.2,0.02,77,0.11
28,Glissando,0.19,52,0.21,0.14,47,-0.1
29,Melisma,0.63,69,0.67,0.45,53,0.61
30,Tremolo,0.27,17,0.4,0.2,30,0.35
31,Glottal,0.28,62,0.31,0.14,56,-0.1
32,Vocal pitch (register),0.46,41,0.49,0.23,41,0.4
33,Vocal width,-0.1,27,-0.12,0.02,28,-0.1
34,Nasality,0.09,8,0.26,0.21,24,0.51
35,Rasp,0.29,23,0.31,0.22,26,0.33
36,Accent,0.35,45,0.35,0.25,38,0.49
37,Enunciation,0.48,46,0.49,0.26,32,0.38
Mean,,0.54,53,0.57,0.46,49,0.51