"","societies","scores","location"
"10027","10027","0.29739","africa"
"10099","10099","0.32919","africa"
"10143","10143","0.29696","africa"
"10247","10247","0.31134","africa"
"10495","10495","0.28678","africa"
"10528","10528","0.35355","africa"
"10682","10682","0.30781","africa"
"11155","11155","0.32854","africa"
"11215","11215","0.37131","africa"
"11342","11342","0.29304","africa"
"11364","11364","0.32958","africa"
"11375","11375","0.31169","africa"
"11529","11529","0.32224","africa"
"11672","11672","0.30037","africa"
"11683","11683","0.30642","africa"
"11793","11793","0.33917","africa"
"11870","11870","0.35212","africa"
"12002","12002","0.36236","africa"
"12084","12084","0.34342","africa"
"12112","12112","0.33804","africa"
"12546","12546","0.36213","africa"
"12783","12783","0.29418","africa"
"13388","13388","0.31704","africa"
"13806","13806","0.31533","africa"
"14004","14004","0.3288","africa"
"14576","14576","0.30359","africa"
"14598","14598","0.34475","africa"
"14675","14675","0.35008","africa"
"15027","15027","0.32122","africa"
"15390","15390","0.33316","africa"
"15544","15544","0.3425","africa"
"15577","15577","0.3473","africa"
"15687","15687","0.30284","africa"
"15703","15703","0.31012","africa"
"15995","15995","0.27014","africa"
"16402","16402","0.30233","africa"
"16479","16479","0.35015","africa"
"16578","16578","0.28587","africa"
"16688","16688","0.35204","africa"
"16996","16996","0.32699","africa"
"17535","17535","0.32885","africa"
"18591","18591","0.27014","africa"
"19262","19262","0.35064","africa"
"19614","19614","0.35206","africa"
"20098","20098","0.35516","africa"
"20131","20131","0.34009","africa"
"20230","20230","0.35101","africa"
"20241","20241","0.30528","africa"
"20252","20252","0.34413","africa"
"20615","20615","0.3741","africa"
"20681","20681","0.34789","africa"
"20956","20956","0.34583","africa"
"20967","20967","0.38714","africa"
"21044","21044","0.33531","africa"
"21110","21110","0.25983","africa"
"21132","21132","0.33177","africa"
"21198","21198","0.35984","africa"
"21242","21242","0.35512","africa"
"21737","21737","0.28487","africa"
"22166","22166","0.32739","africa"
"22276","22276","0.3743","africa"
"22848","22848","0.36743","africa"
"22865","22865","0.38064","africa"
"22868","22868","0.37958","africa"
"22870","22870","0.33044","africa"
"23464","23464","0.35454","africa"
"24707","24707","0.3561","africa"
"25411","25411","0.33121","africa"
"25444","25444","0.35698","africa"
"25466","25466","0.35491","africa"
"25554","25554","0.36832","africa"
"25917","25917","0.36731","africa"
"26522","26522","0.32883","africa"
"26533","26533","0.33764","africa"
"27017","27017","0.34193","africa"
"27050","27050","0.30017","africa"
"27314","27314","0.33855","africa"
"27369","27369","0.30166","africa"
"27545","27545","0.27718","africa"
"27781","27781","0.27913","africa"
"27809","27809","0.34473","africa"
"28172","28172","0.36122","africa"
"28744","28744","0.34302","africa"
"28810","28810","0.33299","africa"
"29107","29107","0.30351","africa"
"29228","29228","0.37942","africa"
"29360","29360","0.34141","africa"
"30009","30009","0.27707","africa"
"30011","30011","0.28105","africa"
"30013","30013","0.37963","africa"
"30015","30015","0.28258","africa"
"30016","30016","0.33534","africa"
"30021","30021","0.39619","africa"
"30035","30035","0.39653","africa"
"30043","30043","0.33928","africa"
"30045","30045","0.38489","africa"
"30167","30167","0.25983","africa"
"30174","30174","0.25983","africa"
"30175","30175","0.26714","africa"
"30187","30187","0.25983","africa"
"30193","30193","0.32515","africa"
"62527","62527","0.36912","africa"
"103","overall_score","0.330342685360223","africa"
"10000","10000","0.2876","oceania"
"10033","10033","0.34144","oceania"
"10140","10140","0.3405","oceania"
"10231","10231","0.33771","oceania"
"10962","10962","0.33028","oceania"
"11281","11281","0.34203","oceania"
"11496","11496","0.36983","oceania"
"12205","12205","0.3509","oceania"
"12260","12260","0.35291","oceania"
"12387","12387","0.36947","oceania"
"12698","12698","0.33","oceania"
"12816","12816","0.32768","oceania"
"12923","12923","0.34211","oceania"
"13784","13784","0.298","oceania"
"14037","14037","0.27746","oceania"
"14378","14378","0.38956","oceania"
"14664","14664","0.33134","oceania"
"14999","14999","0.35825","oceania"
"15170","15170","0.27325","oceania"
"15282","15282","0.35776","oceania"
"15302","15302","0.34184","oceania"
"15335","15335","0.33214","oceania"
"15401","15401","0.27259","oceania"
"15896","15896","0.27069","oceania"
"15978","15978","0.33418","oceania"
"16170","16170","0.31255","oceania"
"16517","16517","0.31794","oceania"
"16611","16611","0.31033","oceania"
"16963","16963","0.31616","oceania"
"17029","17029","0.37221","oceania"
"17265","17265","0.302","oceania"
"17865","17865","0.33078","oceania"
"17936","17936","0.33899","oceania"
"18129","18129","0.29944","oceania"
"19025","19025","0.32525","oceania"
"19097","19097","0.31764","oceania"
"19273","19273","0.35609","oceania"
"19284","19284","0.30721","oceania"
"20604","20604","0.35112","oceania"
"20758","20758","0.29522","oceania"
"20802","20802","0.37966","oceania"
"20813","20813","0.34965","oceania"
"20832","20832","0.36735","oceania"
"20835","20835","0.34301","oceania"
"20879","20879","0.30807","oceania"
"20901","20901","0.34217","oceania"
"20923","20923","0.31109","oceania"
"21187","21187","0.33316","oceania"
"21341","21341","0.335","oceania"
"21825","21825","0.36594","oceania"
"22133","22133","0.31602","oceania"
"22215","22215","0.29902","oceania"
"22380","22380","0.35811","oceania"
"22881","22881","0.36704","oceania"
"23070","23070","0.29683","oceania"
"23200","23200","0.33694","oceania"
"23202","23202","0.3096","oceania"
"23354","23354","0.38242","oceania"
"23981","23981","0.32673","oceania"
"24025","24025","0.33","oceania"
"24245","24245","0.29134","oceania"
"24795","24795","0.29019","oceania"
"25532","25532","0.32735","oceania"
"26401","26401","0.28131","oceania"
"26632","26632","0.30955","oceania"
"27083","27083","0.34307","oceania"
"27204","27204","0.31127","oceania"
"27286","27286","0.34122","oceania"
"27340","27340","0.28129","oceania"
"27479","27479","0.30382","oceania"
"27930","27930","0.34257","oceania"
"28084","28084","0.34718","oceania"
"28136","28136","0.35426","oceania"
"28210","28210","0.2952","oceania"
"28326","28326","0.33326","oceania"
"28456","28456","0.34219","oceania"
"28914","28914","0.3571","oceania"
"28975","28975","0.35883","oceania"
"30029","30029","0.35291","oceania"
"30031","30031","0.35609","oceania"
"30032","30032","0.33967","oceania"
"30037","30037","0.34812","oceania"
"30038","30038","0.29655","oceania"
"30039","30039","0.31223","oceania"
"30040","30040","0.35413","oceania"
"30041","30041","0.30541","oceania"
"30176","30176","0.27295","oceania"
"88","overall_score","0.328957657037721","oceania"
"10297","10297","0.29625","europe"
"10374","10374","0.33185","europe"
"10572","10572","0.29891","europe"
"10858","10858","0.26709","europe"
"10902","10902","0.23736","europe"
"10973","10973","0.28503","europe"
"11760","11760","0.32435","europe"
"11804","11804","0.26092","europe"
"12409","12409","0.28193","europe"
"12563","12563","0.23358","europe"
"12607","12607","0.23446","europe"
"12640","12640","0.31084","europe"
"12739","12739","0.33815","europe"
"12750","12750","0.25188","europe"
"12761","12761","0.33402","europe"
"12772","12772","0.28863","europe"
"12948","12948","0.3033","europe"
"13321","13321","0.257","europe"
"13520","13520","0.2969","europe"
"13883","13883","0.32239","europe"
"13894","13894","0.2681","europe"
"14103","14103","0.27509","europe"
"14147","14147","0.2453","europe"
"14158","14158","0.24238","europe"
"14562","14562","0.2551","europe"
"14752","14752","0.29279","europe"
"14818","14818","0.22291","europe"
"14851","14851","0.24573","europe"
"15093","15093","0.29425","europe"
"15181","15181","0.32476","europe"
"15225","15225","0.22252","europe"
"15313","15313","0.27983","europe"
"15439","15439","0.2572","europe"
"15445","15445","0.27347","europe"
"15497","15497","0.22252","europe"
"15500","15500","0.22252","europe"
"15522","15522","0.29737","europe"
"15676","15676","0.30529","europe"
"15830","15830","0.22252","europe"
"15841","15841","0.23481","europe"
"15852","15852","0.3192","europe"
"16363","16363","0.2852","europe"
"16666","16666","0.26221","europe"
"16919","16919","0.26062","europe"
"17271","17271","0.30647","europe"
"17359","17359","0.31523","europe"
"17403","17403","0.32993","europe"
"18624","18624","0.26851","europe"
"19724","19724","0.29701","europe"
"19922","19922","0.29702","europe"
"19977","19977","0.34162","europe"
"20087","20087","0.27184","europe"
"20153","20153","0.2839","europe"
"20318","20318","0.2464","europe"
"20626","20626","0.26898","europe"
"21693","21693","0.27178","europe"
"21704","21704","0.35188","europe"
"22065","22065","0.32717","europe"
"22067","22067","0.34716","europe"
"22188","22188","0.2579","europe"
"22254","22254","0.26584","europe"
"22804","22804","0.30234","europe"
"22925","22925","0.2925","europe"
"23090","23090","0.27279","europe"
"23662","23662","0.25692","europe"
"23827","23827","0.23859","europe"
"23915","23915","0.32266","europe"
"24399","24399","0.23743","europe"
"24421","24421","0.26622","europe"
"24472","24472","0.32677","europe"
"24597","24597","0.31571","europe"
"24608","24608","0.28314","europe"
"25070","25070","0.3498","europe"
"25071","25071","0.2698","europe"
"25543","25543","0.24675","europe"
"25741","25741","0.34361","europe"
"25752","25752","0.31336","europe"
"26005","26005","0.30086","europe"
"26027","26027","0.33451","europe"
"26038","26038","0.31256","europe"
"26049","26049","0.32311","europe"
"26060","26060","0.32165","europe"
"26071","26071","0.32301","europe"
"26075","26075","0.33667","europe"
"26093","26093","0.25265","europe"
"26159","26159","0.28686","europe"
"26654","26654","0.27056","europe"
"27446","27446","0.30461","europe"
"27908","27908","0.31925","europe"
"28436","28436","0.2456","europe"
"28568","28568","0.28005","europe"
"30047","30047","0.29299","europe"
"30058","30058","0.31675","europe"
"30100","30100","0.28068","europe"
"30101","30101","0.31099","europe"
"30106","30106","0.34856","europe"
"50246","50246","0.31031","europe"
"50248","50248","0.23859","europe"
"50249","50249","0.25351","europe"
"50250","50250","0.34225","europe"
"50254","50254","0.22252","europe"
"50255","50255","0.33086","europe"
"50257","50257","0.23481","europe"
"50265","50265","0.32892","europe"
"50266","50266","0.3054","europe"
"50273","50273","0.34125","europe"
"50274","50274","0.33302","europe"
"62297","62297","0.24413","europe"
"62410","62410","0.24169","europe"
"62411","62411","0.28005","europe"
"62416","62416","0.23308","europe"
"62493","62493","0.29719","europe"
"62495","62495","0.27119","europe"
"62496","62496","0.30992","europe"
"62553","62553","0.29376","europe"
"116","overall_score","0.286503867110629","europe"
