"","response","explanatory","constraint","r2","adj.r2","perm_r2","perm_adjr2","perm_r2z","perm_adjr2z","perm_r2z_p","perm_adjr2z_p"
"Var1","MusicalDist","LanguageDist","GeographicDist",0.165798615366153,-0.0424881076210034,0.103725142747117,-0.00171895810616342,1.42071095346205,-1.71785469367874,31,46
"Var11","DifferentiationDist","LanguageDist","GeographicDist",0.31532052495274,0.147196794532702,0.105379445265409,0.000129968237809627,4.48691948627452,-1.6078704509343,69,95
"Var12","DynamicsDist","LanguageDist","GeographicDist",0.246755841796076,0.0644673548743558,0.102337622523848,-0.0032697160027577,2.03018927669708,0.734812169311024,48,80
"Var13","OrnamentationDist","LanguageDist","GeographicDist",0.259857110394453,0.068766668309676,0.111339196179419,0.0067908663181737,1.9705591933066,-0.838838200269063,41,72
"Var14","RhythmDist","LanguageDist","GeographicDist",0.0979496842883732,-0.118050401790479,0.106258934166936,0.00111292642187009,-0.568719880434496,-3.44974892183603,5,38
"Var15","TensionDist","LanguageDist","GeographicDist",0.151471934528247,-0.0695222642208316,0.115738011408566,0.0117071892213384,1.61663098235815,-2.12751506264539,18,39
"Var16","MusicalDist","GeneticDist","GeographicDist",0.166804531011919,0.0280283407824286,0.217877477014223,0.00931147088468257,-0.614624713702114,-3.05937334188086,0,52
"Var17","DifferentiationDist","GeneticDist","GeographicDist",0.372838724444812,0.287556216469194,0.219852436414711,0.0118130861253006,3.07709401987387,-0.249703312701156,58,98
"Var18","DynamicsDist","GeneticDist","GeographicDist",0.231208735785057,0.107517996024784,0.206380092449447,-0.00525188289736658,-0.228164672563053,-2.04982849239214,9,81
"Var19","OrnamentationDist","GeneticDist","GeographicDist",0.202747659362656,0.0585511943420617,0.214011249416683,0.00441424926113145,1.26475950130615,-1.89911333735943,6,62
"Var110","RhythmDist","GeneticDist","GeographicDist",0.0535849707242791,-0.10918999820037,0.214131655975698,0.00456676423588451,-2.14409651899068,-3.16674688675006,0,20
"Var111","TensionDist","GeneticDist","GeographicDist",0.17426528291912,0.0339088023059048,0.218994969790989,0.0107269617352527,-1.17412677452389,-0.923416058410866,2,58
"Var112","MusicalDist","GeographicDist","LanguageDist",0.0379136190377361,-0.0810584666026667,0.158674449389861,0.000925908650460014,-1.85706098277737,-2.69953222825449,0,16
"Var113","DifferentiationDist","GeographicDist","LanguageDist",0.0392986421327208,-0.0665132022000915,0.143040585730454,-0.0176393044450859,-0.891215811723987,-2.71738266529245,0,29
"Var114","DynamicsDist","GeographicDist","LanguageDist",0.0629066080125638,-0.0400654952261323,0.156423671175059,-0.00174689047961786,-3.24234345474781,-4.68351087503456,0,31
"Var115","OrnamentationDist","GeographicDist","LanguageDist",0.0072843879573687,-0.116381499795003,0.140506988039948,-0.0206479517025615,-1.28659852364036,-1.92165829920215,0,18
"Var116","RhythmDist","GeographicDist","LanguageDist",0.03216614945631,-0.0881862384192484,0.15693913149851,-0.00113478134551908,-1.88913491232815,-2.36322493278996,0,20
"Var117","TensionDist","GeographicDist","LanguageDist",0.0504854831436768,-0.0713798962777032,0.153591722247302,-0.00510982983132905,-0.665991699473448,-1.13579686091535,0,24
"Var118","MusicalDist","GeneticDist","LanguageDist",0.0759276609275196,-0.101546056975384,0.160890660425249,0.00355765925498329,0.262621948074757,-2.41010864932288,0,31
"Var119","DifferentiationDist","GeneticDist","LanguageDist",0.119767523445529,-0.0117863165182729,0.161157987872486,0.00387511059857729,-1.73980924338415,-2.08027597799809,2,40
"Var120","DynamicsDist","GeneticDist","LanguageDist",0.102027920228311,-0.0529654167441453,0.158135548873534,0.00028596428732154,-1.23173655527619,-1.46634893478582,1,31
"Var121","OrnamentationDist","GeneticDist","LanguageDist",0.0160475101378622,-0.18101180084735,0.152872136456819,-0.00596433795752769,-1.65160629181007,-4.72820185290853,0,20
"Var122","RhythmDist","GeneticDist","LanguageDist",0.0620205682836359,-0.121498009274258,0.163889810906518,0.00711915045148958,-1.92980082923226,-6.54719782658267,0,24
"Var123","TensionDist","GeneticDist","LanguageDist",0.108849123953139,-0.0635509076583638,0.146097128866186,-0.0140096594714043,-2.92118385986671,-1.53491503526862,2,38
"Var124","MusicalDist","GeographicDist","GeneticDist",0.0473178126557758,-0.0560102764681489,0.15448178463633,-0.00405288074435839,0.115507853772808,-2.24225321261972,0,23
"Var125","DifferentiationDist","GeographicDist","GeneticDist",0.159179577242162,0.0975474111219371,0.155850699670327,-0.0024272941414872,0.496319510977523,-0.272109791497102,9,60
"Var126","DynamicsDist","GeographicDist","GeneticDist",0.132976211050551,0.0510275819769147,0.158356828487589,0.000548733829011664,0.836103920622956,-1.24312811907689,3,59
"Var127","OrnamentationDist","GeographicDist","GeneticDist",0.0780666602447831,-0.0263306419624628,0.158797382669301,0.00107189191979528,0.0333355687867944,-1.63731327001768,0,33
"Var128","RhythmDist","GeographicDist","GeneticDist",0.020697163346646,-0.0951864690745078,0.164538958247281,0.00789001291864616,-2.22793746651697,-2.36909012222547,0,13
"Var129","TensionDist","GeographicDist","GeneticDist",0.0782906772343644,-0.0209711014618134,0.160383975530373,0.00295597094231837,-1.38227690284981,-1.98834979054179,0,33
"Var130","MusicalDist","LanguageDist","GeneticDist",0.084325938899793,-0.147014315244299,0.159672152585219,0.00211068119494712,-0.285642983134275,-4.45746771912412,0,28
"Var131","DifferentiationDist","LanguageDist","GeneticDist",0.182130259062898,0.0119148748672626,0.159310456228213,0.0016811667710035,0.276748179846215,-1.53375481497404,12,52
"Var132","DynamicsDist","LanguageDist","GeneticDist",0.187644629277317,-0.00492298069152641,0.151205561050318,-0.00794339625274706,0.694940466980403,-1.83098114783682,17,51
"Var133","OrnamentationDist","LanguageDist","GeneticDist",0.143939233457073,-0.080745469047195,0.109212264640156,0.00441370753899799,0.303043306971701,-2.277132517094,15,41
"Var134","RhythmDist","LanguageDist","GeneticDist",0.094916295738066,-0.137358643519626,0.0999197966313611,-0.00597199200024351,-0.471700051488385,-3.0242990194207,3,39
"Var135","TensionDist","LanguageDist","GeneticDist",0.113860969652952,-0.11657317936921,0.0984778099620522,-0.0075836241600593,-1.23545738739735,-4.12360831480044,12,40
